x_um_0deg,y1_left,y2_right,y3_bottom,y4_top,y_mean_0,x_um_rot,y5_left_rot,y6_right_rot,y7_bottom_rot,y8_top_rot,y_mean_rot
29.43243243243243,3.7641547714175005,-15.820819227010897,-7.952922251551405,-3.074024802054115,-5.770902877299729,29.43243243243243,-3.636711,-11.886729,-15.861054,2.053983,-7.332628
30.324324324324323,3.554598583317496,-9.827895747550993,-6.550387596078602,-3.4414405703694717,-4.066281332670393,30.324324324324323,-5.813057,-12.346598,-15.804199,1.7920862,-8.042941
31.216216216216218,2.2489539095637316,-8.285130191248028,-6.81412662290828,-2.7672860585656474,-3.904397240789556,31.216216216216218,-4.571896,-11.862409,-15.112187,1.7260288,-7.4551163
32.108108108108105,2.6909944757307627,-9.947110432814803,-10.838840152316235,-2.227562954267797,-5.080629765917018,32.108108108108105,-4.0406466,-11.908591,-14.866599,1.7402028,-7.268909
33.0,3.502297445506932,-11.92961597422057,-10.764230597152585,-2.5827712050419356,-5.44358008272704,33.0,-4.1754146,-11.4565935,-14.974599,2.631134,-6.993868
33.891891891891895,1.525598404599522,-12.859567852045148,-12.057997455174066,-4.576444150178642,-6.992102763199584,33.891891891891895,-4.9989886,-11.192272,-15.12245,2.7443995,-7.142328
34.78378378378378,1.67781565670014,-11.668513633532188,-13.060328831631363,-4.615177197060092,-6.916551001380876,34.78378378378378,-4.8750615,-10.828127,-17.673847,1.6336806,-7.935839
35.67567567567568,1.6583353999185848,-9.496677671474364,-13.491121849765243,-4.255522950267819,-6.39624676789721,35.67567567567568,-4.565524,-10.662655,-2.2001622,2.850649,-3.644423
36.567567567567565,1.5494334477720724,-12.980513460673178,-13.589269455753982,-0.6867448377539257,-6.426773576602253,36.567567567567565,-5.3109527,-11.209446,1.6580693,0.54970914,-3.578155
37.45945945945946,1.4757222249477728,-11.461700602211629,-12.643286026051525,-0.366379696329062,-5.748911024911111,37.45945945945946,-5.396893,-10.964406,1.0205386,0.6796669,-3.6652737
38.351351351351354,1.3877058891989738,-9.086862955838143,-12.073944046485225,-0.16905921021667075,-4.985540080835266,38.351351351351354,-5.4205446,-10.9497795,1.5679016,0.29384625,-3.6271439
39.24324324324324,1.8135578737218123,-11.346381324531992,-11.850336939759792,0.21847373438215198,-5.291171664046955,39.24324324324324,-5.6444974,-11.437106,0.7454894,0.23239237,-4.0259304
40.13513513513514,2.2735808836497875,-11.256065565920286,-13.477099190838661,0.7755713470956609,-5.421003131503375,40.13513513513514,-6.224427,-11.415373,-0.28303355,0.016424539,-4.4766026
41.027027027027025,1.8995671150147606,-10.105137423066797,-15.698265203495879,0.29997053126915474,-5.90096624506969,41.027027027027025,-6.0167675,-10.898549,-0.50078976,-0.3082589,-4.4310913
41.91891891891892,1.8649713567526027,-9.181698006552631,-15.95478183115129,0.2997143722227139,-5.742948527182151,41.91891891891892,-5.933302,-11.2275,0.4561229,-0.7407833,-4.3613653
42.81081081081081,1.9475465988670557,-8.54274293667557,-14.955524724967109,0.45678517106527244,-5.273483972927587,42.81081081081081,-5.5395246,-11.919803,0.99971956,-1.1870912,-4.411675
43.7027027027027,2.3101662676501387,-12.113778678696201,-15.199761316992397,-0.15594744213412404,-6.289830292543146,43.7027027027027,-4.980099,-12.117791,-1.4698212,-1.4453896,-5.0032754
44.5945945945946,1.9385670544332194,-12.136649902858679,-15.732067029144803,0.9366308065861382,-6.248379767746031,44.5945945945946,-4.7344007,-12.239346,-3.7370636,-2.3014474,-5.7530646
45.486486486486484,2.0123699847970458,-11.110005835453464,-21.433726516308813,0.5840923071225556,-7.486817514960669,45.486486486486484,-5.4534497,-11.641536,-5.592914,-2.620669,-6.3271422
46.37837837837838,2.1285347214844075,-11.33333474289604,-22.46605708864019,0.9138846017400591,-7.689243127077941,46.37837837837838,-5.57015,-11.160888,-6.831209,-2.868573,-6.6077046
47.27027027027027,1.6607090574218084,-10.977448917786187,-13.248531740372336,0.5351720584520769,-5.50752488557116,47.27027027027027,-5.7800236,-10.609457,-8.313957,-3.2299745,-6.983353
48.16216216216216,2.1570729197058625,-20.504067436286842,-14.956735214768997,0.46911943908819076,-8.208652573065446,48.16216216216216,-5.4052124,-11.088519,-10.562537,-3.3838267,-7.6100245
49.054054054054056,2.4304774218556364,-18.447896640171738,-15.08148960219998,0.4991704608184984,-7.649934589924396,49.054054054054056,-5.3024387,-11.167827,-12.317611,-2.9792824,-7.9417896
49.945945945945944,2.00876561615947,-17.81492767117969,-15.080118560167607,0.8685686846874231,-7.5044279826251,49.945945945945944,-5.0700955,-10.876831,-14.582986,-2.295288,-8.2063
50.83783783783784,2.23005267819571,-17.11600360889969,-15.521011585121698,0.868877099787009,-7.384521354009666,50.83783783783784,-5.4771457,-10.827332,-16.451284,-3.441011,-9.049192
51.729729729729726,1.7160386428525438,-16.9369624515194,-29.678129283755194,0.14447779077520112,-11.188643825411713,51.729729729729726,-5.3715324,-12.1355715,-18.188393,-2.980814,-9.669077
